destinationProvince	mainCity	destinationDistrict
Kalimantan Tengah	Kab. Kotawaringin Timur	Antang Kalang
Banten	Kab. Serang	Anyar
Papua	Kab. Jayawijaya	Apalapsili
Papua	Kab. Paniai	Aradide
Jawa Barat	Kab. Indramayu	Arahan
Sulawesi Barat	Kab. Mamasa	Aralle
Papua Barat	Kab. Teluk Bintuni	Aranday
Kalimantan Selatan	Kab. Banjar	Aranio
Jawa Barat	Bandung	Arcamanik
Bengkulu	Kab. Bengkulu Utara	Arga Makmur
Jawa Barat	Kab. Majalengka	Argapura
Jawa Tengah	Kota Salatiga	Argomulyo
Jawa Timur	Kab. Jember	Arjasa
Jawa Timur	Kab Situbondo	Arjasa
Jawa Timur	Kab. Sumenep	Arjasa
Jawa Barat	Kab. Bandung	Arjasari
Jawa Barat	Kab. Cirebon	Arjawinangun
Jawa Timur	Kab. Pacitan	Arjosari
Aceh	Kab. Aceh Barat	Arongan Lambalek
Jawa Timur	Kab. Bangkalan	Arosbaya
Sumatera Barat	Kab. Solok	Arosuka
Sumatera Utara	Kab. Tapanuli Selatan	Arse
Papua	Kab. Keerom	Arso
Sulawesi Selatan	Kab. Jeneponto	Arungkeke
Kalimantan Tengah	Kab. Kotawaringin Barat	Arut Selatan
Kalimantan Tengah	Kab. Kotawaringin Barat	Arut Utara
Nusa Tenggara Barat	Kota Bima	Asakota
Jawa Timur	Kab Situbondo	Asembagus
Jawa Timur	Kota Surabaya	Asemrowo
Sulawesi Tenggara	Kab. Konawe	Asera
Papua	Kab. Jayawijaya	Asologaima
Papua	Kab. Mappi	Assue
Kalimantan Selatan	Kab. Banjar	Astambul
Jawa Barat	Bandung	Astanaanyar
Jawa Barat	Kab. Cirebon	Astanajapura
Nusa Tenggara Timur	Kab. Lembata	Atadei
Nusa Tenggara Timur	Kab. Belu	Atambua
Gorontalo	Kab. Gorontalo	Atinggola
Gorontalo	Kab. Gorontalo Utara	Atinggota
Papua	Kab. Asmat	Atsy
Aceh	Kab. Aceh Tengah	Atu Lintang
Sumatera Barat	Kota Bukit Tinggi	Aur Birugo Tigo Baleh
Sulawesi Selatan	Kab. Tana Toraja Utara	Awan Rante Karua
Kalimantan Selatan	Kab. Barito Timur	Awang
Sulawesi Selatan	Kab. Bone	Awangpone
Kalimantan Selatan	Kab. Balangan	Awayan
Jawa Tengah	Kab. Kebumen	Ayah
Papua Barat	Kab. Sorong Selatan	Ayamaru
Papua Barat	Kab. Sorong Selatan	Ayamaru Utara
Nusa Tenggara Timur	Kab. Rote Ndao	Baa
Kalimantan Tengah	Kab. Kotawaringin Timur	Baamang
Jawa Timur	Kab. Ponorogo	Babadan
Aceh	Kab. Aceh Barat Daya	Babah Rot
Jawa Barat	Kab. Cirebon	Babakan
Jawa Barat	Kab. Bogor	Babakan Madang
Jawa Barat	Kab. Purwakarta	Babakancikao
Jawa Barat	Bandung	Babakanciparay
Sumatera Utara	Kab. Langkat	Babalan
Jawa Timur	Kab. Lamongan	Babat
Sumatera Selatan	Kab. Musi Banyuasin	Babat Toman
Jawa Barat	Kab. Bekasi	Babelan
Kalimantan Selatan	Kab. Hulu Sungai Utara	Babirik
Papua Barat	Kab. Teluk Bintuni	Babo
Aceh	Kab. Aceh Tenggara	Babul Makmur
Aceh	Kab. Aceh Tenggara	Babul Rahmat
Kalimantan Timur	Kab. Panajam Paser Utara	Babulu
Aceh	Kab. Aceh Tenggara	Babussalam
Maluku Utara	Kab. Halmahera Selatan	Bacan
Maluku Utara	Kab. Halmahera Selatan	Bacan Selatan
Maluku Utara	Kab. Halmahera Selatan	Bacan Timur
Sulawesi Selatan	Kota Pare-Pare	Bacukiki
Aceh	Kab. Aceh Tenggara	Badar
Kepulauan Bangka Belitung	Kab. Belitung	Badau
Kalimantan Barat	Kab. Kapuas Hulu	Badau
Jawa Timur	Kab. Ponorogo	Badegan
Sumatera Utara	Kab. Tapanuli Tengah	Badiri
Jawa Tengah	Kab. Kudus	Bae
Sulawesi Selatan	Kab. Luwu Utara	Baebunta
Riau	Kab. Rokan Hilir	Bagan Siapi-api
Riau	Kab. Rokan Hilir	Bagan Sinembah
Jawa Tengah	Kab. Purworejo	Bagelen
Jawa Timur	Kab. Nganjuk	Bagor
Sulawesi Tengah	Kab. Morowali	Bahodopi
Lampung	Kab. Way Kanan	Bahuga
Aceh	Kota Banda Aceh	Baiturrahman
Aceh	Kab. Aceh Besar	Baitussalam
Nusa Tenggara Timur	Kab. Ngada	Bajawa
Sulawesi Selatan	Kab. Goa	Bajeng
Sulawesi Selatan	Kab. Luwu Utara	Bajo
Jambi	Kab. Batang Hari	Bajubang
Kepulauan Bangka Belitung	Kab. Bangka	Bakam
Kalimantan Selatan	Kab. Tampin	Bakarangan
Lampung	Kab. Lampung Selatan	Bakauheuni
Jawa Tengah	Kab. Sukoharjo	Baki
Aceh	Kab. Aceh Selatan	Bakongan
Aceh	Kab. Aceh Selatan	Bakongan Timur
Aceh	Kab. Aceh Utara	Baktia
Aceh	Kab. Aceh Utara	Baktia Barat
Sumatera Utara	Kab. Humbang Hasudutan	Baktiraja
Kalimantan Selatan	Kab. Barito Kuala	Bakumpai
Jawa Timur	Kab. Blitar	Bakung
Sulawesi Tengah	Kab. Donggala	Balaesang
Kalimantan Barat	Kab. Sanggau	Balai
Kalimantan Tengah	Kab. Sukamara	Balai Riam
Sulawesi Barat	Kab. Polewali Mandar	Balanipa
Sulawesi Tengah	Kab. Banggai	Balantak
Jawa Tengah	Kab. Tegal	Balapulang
Banten	Kab. Tangerang	Balaraja
Jawa Barat	Kab. Bandung	Baleendah
Jawa Timur	Kab. Bangkalan	Balega
Jawa Tengah	Kab. Bojonegoro	Balen
Jawa Timur	Kab. Madiun	Balerejo
Sumatera Utara	Kab. Toba Samosir	Balige
Lampung	Kab. Lampung Barat	Balik Bukit
Kalimantan Timur	Kota Balikpapan	Balikpapan
Kalimantan Timur	Kota Balikpapan	Balikpapan Barat
Kalimantan Timur	Kota Balikpapan	Balikpapan Selatan
Kalimantan Timur	Kota Balikpapan	Balikpapan Tengah
Kalimantan Timur	Kota Balikpapan	Balikpapan Timur
Kalimantan Timur	Kota Balikpapan	Balikpapan Utara
Sulawesi Selatan	Kab. Pangkajene Kepulauan	Balocci
Jawa Timur	Kab. Ponorogo	Balong
Jawa Barat	Kab. Indramayu	Balongan
Jawa Timur	Kab. Sidoarjo	Balongbendo
Jawa Timur	Kab.Gresik	Balongpanggang
Jawa Barat	Kab. Garut	Balubur Limbangan
Jawa Timur	Kab. Jember	Balung
Sulawesi Selatan	Kab. Barru	Balusu
Sulawesi Selatan	Kab. Tana Toraja Utara	Balusu
Sulawesi Barat	Kab. Mamuju Utara	Bambalamotu
D.I. Yogyakarta	Kab. Bantul	Bambanglipuro
Aceh	Kab. Aceh Tenggara	Bambel
Kalimantan Tengah	Kab. Pulang Pisau	Banamatingang
Sulawesi Tengah	Kab. Donggala	Banawa
Jawa Tengah	Kab. Semarang	Bancak
Jawa Timur	Kab. Tuban	Bancar
Maluku	Kab. Maluku Tengah	Banda
Aceh	Kota Banda Aceh	Banda Aceh
Aceh	Kab. Aceh Timur	Banda Alam
Aceh	Kota Banda Aceh	Banda Raya
Aceh	Kota Lhokseumawe	Banda Sakti
Aceh	Kab. Bener Meriah	Bandar
Jawa Tengah	Kab. Batang	Bandar
Sumatera Utara	Kab. Simalungun	Bandar
Jawa Timur	Kab. Pacitan	Bandar
Aceh	Kab. Pidie Jaya	Bandar Baru
Aceh	Kab. Pidie Jaya	Bandar Dua
Sumatera Utara	Kab. Simalungun	Bandar Huluan
Lampung	Kab. Lampung Tengah	Bandar Jaya
Jawa Timur	Kab. Jombang	Bandar Kedungmulyo
Sumatera Utara	Kab. Serdang Bedagai	Bandar Khalipah
Lampung	Kota Bandar Lampung	Bandar Lampung
Sumatera Utara	Kab. Simalungun	Bandar Masilam
Lampung	Kab. Lampung Tengah	Bandar Mataram
Sumatera Utara	Kab. Asahan	Bandar Pasir Mandoge
Sumatera Utara	Kab. Asahan	Bandar Pulau
Kepulauan Riau	Kab. Bintan	Bandar Sri Bintan
Lampung	Kab. Lampung Timur	BANDAR SRIBAWANO
Lampung	Kab. Lampung Tengah	Bandar Surabaya
Sumatera Selatan	Kab. Ogan Komering Ulu Selatan	Banding Agung
Jawa Tengah	Kab. Magelang	Bandongan
Jawa Barat	Bandung	Bandung
Jawa Timur	Kab. Tulungagung	Bandung
Jawa Barat	Bandung	Bandung Kidul
Jawa Barat	Bandung	Bandung Kulon
Jawa Barat	Bandung	Bandung Wetan
Sulawesi Barat	Kab. Majene	Banggae
Sulawesi Tengah	Kab. Banggai Kepulauan	Banggai
Sumatera Barat	Kab. Pasuruan	Bangil
Jawa Timur	Kab. Tuban	Bangilan
Sulawesi Selatan	Kab. Jeneponto	Bangkala
Sulawesi Selatan	Kab. Jeneponto	Bangkala Barat
Jawa Timur	Kab. Bangkalan	Bangkalan
Sulawesi Selatan	Kab. Tana Toraja Utara	Bangkelekila
Riau	Kab. Kampar	Bangkinang
Riau	Kab. Kampar	Bangkinang Barat
Riau	Kab. Kampar	Bangkinang Seberang
Jambi	Kab. Merangin	Bangko
Riau	Kab. Rokan Hilir	Bangko
Riau	Kab. Rokan Hilir	Bangko Pusako
Bali	Kab. Bangli	Bangli
Jawa Barat	Kab. Indramayu	Bangodua
Jawa Timur	Kab. Banyuwangi	Bangorejo
Jawa Timur	Kab. Mojokerto	Bangsal
Jawa Timur	Kab. Jember	Bangsalsari
Jawa Tengah	Kab. Jepara	Bangsri
Sumatera Utara	Kab. Deli Serdang	Bangun Purba
Riau	Kab. Rokan Hulu	Bangun Purba
Lampung	Kab. Lampung Tengah	Bangunrejo
D.I. Yogyakarta	Kab. Bantul	Banguntapan
Kalimantan Selatan	Kab. Hulu Sungai Utara	Banjang
Jawa Barat	Kota Banjar	Banjar
Banten	Kab. Pandeglang	Banjar
Bali	Kab. Buleleng	Banjar
Lampung	Kab. Tulang Bawang	Banjar Agung
Jawa Barat	Kab. Bandung	Banjaran
Jawa Barat	Kab. Majalengka	Banjaran
Bali	Kab. Klungkung	Banjarangkan
Kalimantan Selatan	Kota Banjarbaru	BanjarBaru
Jawa Tengah	Kab. Blora	Banjarejo
Jawa Tengah	Kab. Brebes	Banjarharjo
Jawa Tengah	Kab. Banjarnegara	Banjarmangu
Kalimantan Selatan	Kota Banjarmasin	Banjarmasin
Kalimantan Selatan	Kota Banjarmasin	Banjarmasin Barat
Kalimantan Selatan	Kota Banjarmasin	Banjarmasin Selatan
Kalimantan Selatan	Kota Banjarmasin	Banjarmasin Tengah
Kalimantan Selatan	Kota Banjarmasin	Banjarmasin Timur
Kalimantan Selatan	Kota Banjarmasin	Banjarmasin Utara
Jawa Tengah	Kab. Banjarnegara	Banjarnegara
Jawa Tengah	Kota Surakarta	Banjarsari
Banten	Kab. Lebak	Banjarsari
Jawa Barat	Kab.Ciamis	Banjarsari
Jawa Barat	Kab. Garut	Banjarwangi
Lampung	Kab. Way Kanan	Banjit/Banjid
Jawa Tengah	Kab. Temanggung	Bansari
Sulawesi Selatan	Kab. Bantaeng	Bantaeng
Riau	Kab. Bengkalis	Bantan
Jawa Barat	Kota Bekasi	Bantar Gebang
Jawa Timur	Kab. Probolinggo	Bantaran
Jawa Tengah	Kab. Pemalang	Bantarbolang
Jawa Barat	Kab. Sukabumi	Bantargadung
Jawa Barat	Kab. Tasikmalaya	Bantarkalong
Jawa Tengah	Kab. Brebes	Bantarkawung
Jawa Tengah	Kab. Cilacap	Bantarsari
Jawa Barat	Kab. Majalengka	Bantarujeg
Sulawesi Selatan	Kab. Maros	Bantimurung
D.I. Yogyakarta	Kab. Bantul	Bantul
Jawa Timur	Kab. Malang	Bantur
Kalimantan Selatan	Kab. Tabalong	Banua Lawas
Sumatera Barat	Kab. Agam	Banuhampu
Jawa Timur	Kab. Kediri	Banyakan
Jawa Timur	Kab. Probolinggo	Banyuanyar
Sumatera Selatan	Kab. Banyuasin	Banyuasin I
Sumatera Selatan	Kab. Banyuasin	Banyuasin II
Sumatera Selatan	Kab. Banyuasin	Banyuasin III
Jawa Timur	Kab. Sampang	Banyuates
Jawa Tengah	Kab. Semarang	Banyubiru
Jawa Tengah	Kab. Boyolali	Banyudono
Jawa Timur	Kab Situbondo	Banyuglugur
Jawa Tengah	Kota Semarang	Banyumanik
Jawa Tengah	Kab. Banyumas	Banyumas
Jawa Timur	Kab Situbondo	Banyuputih
Jawa Tengah	Kab. Batang	Banyuputih
Jawa Barat	Kab. Garut	Banyuresmi
Jawa Barat	Kab. Karawang	Banyusari
Jawa Tengah	Kab. Purworejo	Banyuurip
Jawa Timur	Kab. Banyuwangi	Banyuwangi
Sulawesi Tengah	Kab. Toli-Toli	Baolan
Kalimantan Selatan	Kab. Hulu Sungai Tengah	Barabai
Lampung	Kab. Way Kanan	Baradatu
Sulawesi Selatan	Kab. Enrekang	Baraka
Kalimantan Selatan	Kab. Barito Kuala	Barambai
Sumatera Barat	Kota Sawahlunto	Barangin
Sulawesi Tenggara	Kab. Muna	Barangka
Sulawesi Selatan	Kab. Sindenreng Rappang	Baranti
Sulawesi Barat	Kab. Mamuju Utara	Baras
Sulawesi Tenggara	Kota Kendari	Barat
Jawa Timur	Kab. Magetan	Barat
Sulawesi Selatan	Kab. Bone	Barebbo
Jawa Barat	Kab.Ciamis	Baregbeg
Jawa Timur	Kab. Jombang	Bareng
Sulawesi Selatan	Kab. Goa	Barombong
Jawa Timur	Kab. Nganjuk	Baron
Kalimantan Timur	Kab. Kutai Barat	Barong Tongkok
Jawa Barat	Kota Sukabumi	Baros
Banten	Kab. Serang	Baros
Sulawesi Selatan	Kab. Barru	Barru
Sulawesi Tenggara	Kota Kendari	Baruga
Sumatera Utara	Kab. Padang Lawas	Barumun
Sumatera Utara	Kab. Tapanuli Selatan	Barumun
Sumatera Utara	Kab. Padang Lawas	Barumun Tengah
Sumatera Utara	Kab. Tapanuli Selatan	Barumun Tengah
Sulawesi Selatan	Kab. Tana Toraja Utara	Baruppu
Sumatera Utara	Kab. Tapanuli Tengah	Barus
Sumatera Utara	Kab. Karo	Barusjahe
Sumatera Barat	Kab. Pesisir Selatan	Basa IV Balai Tapan
Kalimantan Tengah	Kab. Kapuas	Basarang
Sulawesi Tengah	Kab. Toli-Toli	Basidondo
Sumatera Barat	Kab. Agam	Baso
Sulawesi Selatan	Kab. Luwu Utara	Bassesangtempe
Sumatera Utara	Kab. Mandailing Natal	Batahan
Sulawesi Tenggara	Kab. Muna	Batalaiworu
Kepulauan Riau	Kota Batam	Batam
Jawa Tengah	Kab. Batang	Batang
Sulawesi Selatan	Kab. Jeneponto	Batang
Kalimantan Selatan	Kab. Hulu Sungai Tengah	Batang Alai Selatan
Kalimantan Selatan	Kab. Hulu Sungai Tengah	Batang Alai Tengah
Kalimantan Selatan	Kab. Hulu Sungai Tengah	Batang Alai Utara
Sumatera Barat	Kab. Padang Pariaman	Batang Anai
Sumatera Utara	Kab. Tapanuli Selatan	Batang Angkola
Jambi	Kab. Sarolangun	Batang Asai
Jawa Timur	Kab. Sumenep	Batang Batang
Sumatera Utara	Kab. Padang Lawas	Batang Bulu Sutam
Riau	Kab. Indragiri Hulu	Batang Cenaku
Riau	Kab. Indragiri Hulu	Batang Gansal
Sumatera Barat	Kab. Padang Pariaman	Batang Gasan
Lampung	Kab. Lampung Timur	BATANG HARI
Sumatera Selatan	Kab. Musi Banyuasin	Batang Harileko
Sumatera Barat	Kab. Pesisir Selatan	Batang Kapas
Sumatera Utara	Kab. Deli Serdang	Batang Kuis
Sumatera Utara	Kab. Tapanuli Selatan	Batang Lubu Sutam
Kalimantan Barat	Kab. Kapuas Hulu	Batang Lupar
Jambi	Kab. Kerinci	Batang Merangin
Sumatera Utara	Kab. Mandailing Natal	Batang Natal
Sumatera Utara	Kab. Padang Lawas Utara	Batang Onang
Sumatera Utara	Kab. Tapanuli Selatan	Batang Onang
Sumatera Utara	Kab. Langkat	Batang Serangan
Sumatera Utara	Kab. Tapanuli Selatan	Batang Toru
Riau	Kab. Indragiri Hilir	Batang Tuaka
Jawa Tengah	Kab. Pati	Batangan
Lampung	Kab. Lampung Timur	Batanghari Nuban
Sulawesi Tenggara	Kab. Buton & Buton Utara	Batauga
Jawa Tengah	Kab. Jepara	Batealit
Aceh	Kab. Pidie	Batee
Jambi	Kab. Bungo	Bathin II Babeko
Kalimantan Selatan	Kab. Tanah Laut	Bati-Bati
Bengkulu	Kab. Bengkulu Utara	Batik Nau
Jambi	Kab. Batang Hari	Batin XXIV
Sumatera Barat	Kab. Tanah Datar	Batipuh
Sumatera Barat	Kab. Tanah Datar	Batipuh Selatan
Papua	Kab. Pegunungan Bintang	Batom
Jawa Timur	Kota Batu	Batu
Kepulauan Riau	Kota Batam	Batu Ampar
Kalimantan Barat	Kab. Kubu Raya	Batu Ampar
Kalimantan Timur	Kab. Kutai Timur	Batu Ampar
Kalimantan Selatan	Kab. Tanah Laut	Batu Ampar
Sulawesi Tenggara	Kab. Buton & Buton Utara	Batu Atas
Kalimantan Selatan	Kab. Hulu Sungai Tengah	Batu Benawa
Lampung	Kab. Lampung Barat	Batu Brak
Kalimantan Barat	Kab. Kapuas Hulu	Batu Datu
Kalimantan Timur	Kab. Paser	Batu Engau
Riau	Kab. Rokan Hilir	Batu Hampar
Nusa Tenggara Barat	Kab. Sumbawa	Batu Lanteh
Nusa Tenggara Barat	Kab. Lombok Barat	Batu Layar
Kalimantan Selatan	Kab. Tanah Bambu	Batu Licin
Kalimantan Selatan	Kab. Balangan	Batu Mandi
Jawa Timur	Kab. Pamekasan	Batu Marmar
Nusa Tenggara Timur	Kab. Timor Tengah Selatan	Batu Putih
Sulawesi Tenggara	Kab. Kolaka Utara	Batu Putih
Sumatera Barat	Kab. Tanah Datar	Batu Sangkar
Kalimantan Timur	Kab. Paser	Batu Sopang
Jawa Timur	Kab. Sumenep	Batuan
Banten	Kota Tangerang	Batuceper
Gorontalo	Kab. Gorontalo	Batudaa
Sulawesi Tengah	Kab. Banggai	Batui
Jawa Barat	Kab. Bandung Barat	Batujajar
Jawa Barat	Kab. Karawang	Batujaya
Nusa Tenggara Barat	Kab. Lombok Tengah	Batukliang
Nusa Tenggara Barat	Kab. Lombok Tengah	Batukliang Utara
Sulawesi Selatan	Kab. Pinrang	Batulappa
Jawa Barat	Bandung	Batununggal
Jawa Timur	Kab. Sumenep	Batuputih
Jawa Tengah	Kab. Banjarnegara	Batur
Jawa Tengah	Kab. Banyumas	Baturaden
Sumatera Selatan	Kab. Ogan Komering Ulu	Baturaja
Sumatera Selatan	Kab. Ogan Komering Ulu	Baturaja Barat
Sumatera Selatan	Kab. Ogan Komering Ulu	Baturaja Timur
Jawa Tengah	Kab. Wonogiri	Baturetno
Bali	Kab. Tabanan	Baturiti
Jawa Tengah	Kab. Wonogiri	Batuwarno
Sulawesi Tenggara	Kab. Kota Bau-Bau	Bau - Bau
Sulawesi Tenggara	Kab. Kolaka	Baula
Jawa Tengah	Kab. Bojonegoro	Baureno
Jawa Tengah	Kab. Batang	Bawang
Jawa Tengah	Kab. Banjarnegara	Bawang
Jawa Tengah	Kab. Semarang	Bawen / Doplang
Sumatera Utara	Kab. Nias	Bawolato
Banten	Kab. Lebak	Bayah
Jawa Tengah	Kab. Purworejo	Bayan
Nusa Tenggara Barat	Kab. Lombok Barat	Bayan
Sumatera Barat	Kab. Pesisir Selatan	Bayang
Sumatera Barat	Kab. Pesisir Selatan	Bayang Utara
Jawa Tengah	Kab. Klaten	Bayat
Jawa Barat	Kab. Garut	Bayongbong
Sumatera Selatan	Kab. Musi Banyuasin	Bayung Lencir
Bali	Kab. Karangasem	Bebandem
Jawa Barat	Kab. Cirebon	Beber
Aceh	Kab. Aceh Tengah	Bebesen
Kalimantan Barat	Kab. Sanggau	Beduwai
Jawa Tengah	Kab. Temanggung	Bejen
Sumatera Barat	Kab. Pasuruan	Beji
Jawa Barat	Kota Depok	Beji
